layer,head,flat_idx,emotion,f1_drop,baseline_f1
9,11,119,gratitude,0.0,0.9326145552560647
9,11,119,joy,0.004016064257028051,0.6666666666666666
9,11,119,love,0.0027086590906293395,0.8083623693379791
9,11,119,optimism,-0.003218390804597626,0.56
9,11,119,realization,-0.0025740025740025874,0.2857142857142857
9,11,119,remorse,0.0,0.6470588235294118
9,11,119,sadness,-0.0017726798748697314,0.583941605839416
9,11,119,surprise,0.010822510822510845,0.5714285714285714
10,0,120,admiration,-0.003795066413662229,0.7476280834914611
10,0,120,amusement,0.0029036004645760505,0.8362369337979094
10,0,120,anger,0.0031022292763870363,0.5180722891566265
10,0,120,annoyance,0.09001732988915412,0.45136186770428016
10,0,120,approval,0.012984634171161136,0.5678233438485805
10,0,120,caring,-0.009322033898304993,0.55
10,0,120,confusion,-0.00392772977219169,0.5223880597014925
10,0,120,curiosity,0.0,0.7046263345195729
10,0,120,desire,-0.008998435054773157,0.6388888888888888
10,0,120,disappointment,0.03726534043149338,0.3023255813953488
10,0,120,disapproval,-0.013199719842680868,0.5072463768115942
10,0,120,disgust,0.00809984296222821,0.5585585585585585
10,0,120,embarrassment,0.07,0.32
10,0,120,excitement,-0.0056962025316455445,0.45
10,0,120,fear,0.024656766601288904,0.6511627906976745
10,0,120,gratitude,0.0,0.9326145552560647
10,0,120,joy,0.012578616352201255,0.6666666666666666
10,0,120,love,0.002806813782423534,0.8083623693379791
10,0,120,optimism,-0.006666666666666599,0.56
10,0,120,realization,0.04043126684636117,0.2857142857142857
10,0,120,remorse,-0.019607843137254832,0.6470588235294118
10,0,120,sadness,0.006163828061638288,0.583941605839416
10,0,120,surprise,0.021810250817884347,0.5714285714285714
10,1,121,admiration,0.004663730771010899,0.7476280834914611
10,1,121,amusement,0.013541898336916547,0.8362369337979094
10,1,121,anger,0.021177879218738316,0.5180722891566265
10,1,121,annoyance,0.04650356810913847,0.45136186770428016
10,1,121,approval,-0.008028049340274013,0.5678233438485805
10,1,121,caring,-0.0028455284552845184,0.55
10,1,121,confusion,-0.00392772977219169,0.5223880597014925
10,1,121,curiosity,-0.013143700323632657,0.7046263345195729
10,1,121,desire,0.0,0.6388888888888888
10,1,121,disappointment,0.046511627906976716,0.3023255813953488
10,1,121,disapproval,-0.017098192476795226,0.5072463768115942
10,1,121,disgust,0.03025667176610569,0.5585585585585585
10,1,121,embarrassment,0.32,0.32
10,1,121,excitement,-0.011538461538461553,0.45
10,1,121,fear,0.04140669313669887,0.6511627906976745
10,1,121,gratitude,0.0028848255263349554,0.9326145552560647
10,1,121,joy,0.020703933747411973,0.6666666666666666
10,1,121,love,0.0010896420652518612,0.8083623693379791
10,1,121,optimism,0.005086705202312247,0.56
10,1,121,realization,-0.024630541871921208,0.2857142857142857
10,1,121,remorse,-0.009657594381035972,0.6470588235294118
10,1,121,sadness,0.02755062839580702,0.583941605839416
10,1,121,surprise,0.010822510822510845,0.5714285714285714
10,2,122,admiration,0.004333064334372971,0.7476280834914611
10,2,122,amusement,-0.004040843979868369,0.8362369337979094
10,2,122,anger,0.0027348658437430506,0.5180722891566265
10,2,122,annoyance,0.013861867704280162,0.45136186770428016
10,2,122,approval,0.002743978769215394,0.5678233438485805
10,2,122,caring,0.007627118644067843,0.55
10,2,122,confusion,-0.014925373134328401,0.5223880597014925
10,2,122,curiosity,0.0007935819063324967,0.7046263345195729
10,2,122,desire,0.0,0.6388888888888888
10,2,122,disappointment,-0.015856236786469358,0.3023255813953488
10,2,122,disapproval,-0.012900143334925951,0.5072463768115942
10,2,122,disgust,0.014698909435751473,0.5585585585585585
10,2,122,embarrassment,-0.06461538461538463,0.32
10,2,122,excitement,0.005555555555555591,0.45
10,2,122,fear,0.015868673050615678,0.6511627906976745
10,2,122,gratitude,0.0028848255263349554,0.9326145552560647
10,2,122,joy,0.016064257028112428,0.6666666666666666
10,2,122,love,-0.00824662720181324,0.8083623693379791
10,2,122,optimism,0.0,0.56
10,2,122,realization,0.0,0.2857142857142857
10,2,122,remorse,0.0,0.6470588235294118
10,2,122,sadness,-0.005986451714540819,0.583941605839416
10,2,122,surprise,0.0,0.5714285714285714
10,3,123,admiration,0.004333064334372971,0.7476280834914611
10,3,123,amusement,0.0,0.8362369337979094
10,3,123,anger,0.0031022292763870363,0.5180722891566265
10,3,123,annoyance,-0.004236587894175414,0.45136186770428016
10,3,123,approval,-0.0008667519980648519,0.5678233438485805
10,3,123,caring,0.006000000000000005,0.55
10,3,123,confusion,-0.0070237050043898686,0.5223880597014925
10,3,123,curiosity,0.003896407512273603,0.7046263345195729
10,3,123,desire,-0.008998435054773157,0.6388888888888888
10,3,123,disappointment,-0.003556771545827675,0.3023255813953488
10,3,123,disapproval,-0.007459505541346889,0.5072463768115942
10,3,123,disgust,0.009885992186877135,0.5585585585585585
10,3,123,embarrassment,-0.10857142857142854,0.32
10,3,123,excitement,0.0,0.45
10,3,123,fear,0.007484629778134244,0.6511627906976745
10,3,123,gratitude,0.00036523276283983996,0.9326145552560647
10,3,123,joy,-0.008032128514056214,0.6666666666666666
10,3,123,love,-0.009819448843839118,0.8083623693379791
10,3,123,optimism,0.005086705202312247,0.56
10,3,123,realization,0.04497354497354497,0.2857142857142857
10,3,123,remorse,0.0,0.6470588235294118
10,3,123,sadness,0.004231460911879759,0.583941605839416
10,3,123,surprise,0.010822510822510845,0.5714285714285714
10,4,124,admiration,0.002826571204126549,0.7476280834914611
10,4,124,amusement,-0.012038928271056126,0.8362369337979094
10,4,124,anger,0.00919654951165605,0.5180722891566265
10,4,124,annoyance,0.013861867704280162,0.45136186770428016
10,4,124,approval,0.0,0.5678233438485805
10,4,124,caring,-0.011983471074380136,0.55
10,4,124,confusion,0.006763059701492491,0.5223880597014925
10,4,124,curiosity,-0.012097214968481707,0.7046263345195729
10,4,124,desire,0.008751902587519012,0.6388888888888888
10,4,124,disappointment,0.08010335917312661,0.3023255813953488
10,4,124,disapproval,-0.012051868802440802,0.5072463768115942
10,4,124,disgust,0.018018018018017945,0.5585585585585585
10,4,124,embarrassment,0.32,0.32
10,4,124,excitement,-0.009459459459459474,0.45
10,4,124,fear,0.015868673050615678,0.6511627906976745
10,4,124,gratitude,-0.002520579879070395,0.9326145552560647
10,4,124,joy,0.004089979550102263,0.6666666666666666
10,4,124,love,0.0013448254783300362,0.8083623693379791
10,4,124,optimism,-0.01777777777777767,0.56
10,4,124,realization,-0.019370460048426186,0.2857142857142857
10,4,124,remorse,-0.009191176470588203,0.6470588235294118
10,4,124,sadness,0.023941605839415958,0.583941605839416
10,4,124,surprise,0.008928571428571397,0.5714285714285714
10,5,125,admiration,0.0018653716270543574,0.7476280834914611
