head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
8,8,11,11,0.8714429633666065
8,4,11,9,0.8713736998827512
8,9,11,11,0.8709634941740105
10,3,11,5,0.8707383404398314
0,4,8,3,0.8707051584568278
9,5,11,3,0.8704259236778845
5,2,5,3,0.870422823541389
0,4,10,2,0.8698365956298375
3,7,11,5,0.8697216837289368
3,7,10,2,0.86948884895716
4,4,4,8,0.8685814214901193
3,7,10,7,0.8683821470391976
8,2,8,6,0.8682197020148172
8,2,10,7,0.8676419641893114
4,1,10,7,0.8676296693285322
5,2,8,2,0.867204463164493
7,9,8,2,0.8668090388639549
8,2,10,3,0.8666058805351974
8,9,10,10,0.8665533021912415
2,3,7,7,0.8663064877683303
5,1,8,3,0.865861016169289
7,10,8,2,0.8656656596060311
7,9,7,10,0.8652147539987456
8,2,8,3,0.8650102096763762
6,7,8,9,0.8646895358439703
0,3,4,4,0.864184643510906
7,10,11,5,0.8640588334734847
10,3,10,7,0.8633103792685376
0,3,4,8,0.8631894299038294
0,4,6,1,0.8631441177851291
6,1,9,6,0.8630137401403671
6,7,10,4,0.8628699133018062
8,8,8,9,0.8628353999998899
2,10,4,0,0.8619349305869836
2,3,5,4,0.8615260780878093
8,8,11,9,0.8609779979461176
7,10,10,2,0.8607806474013997
4,1,6,11,0.8596709018488645
4,1,4,4,0.8589009034872076
5,8,6,2,0.8588887232956173
4,10,7,7,0.8587439338363962
5,3,10,2,0.8583753671320826
0,3,7,4,0.858075529408419
2,3,8,6,0.8578230300006932
4,8,4,10,0.8577710949703828
5,3,5,6,0.8572422307671254
4,10,5,4,0.8569293870765761
6,7,11,11,0.856921580178521
6,1,11,5,0.8566014490954977
5,2,10,2,0.8560713695962127
3,7,7,7,0.8560594381757992
7,9,8,6,0.8557865140365357
0,4,11,5,0.854517571258336
9,5,10,0,0.8522749121677259
5,4,10,2,0.8521295147853397
0,4,1,10,0.852112337093612
9,6,11,5,0.8521119358512855
0,4,2,3,0.8520396381745864
5,3,8,2,0.8520135725512736
4,8,5,1,0.8520062258108505
5,2,5,4,0.8520001286171417
5,1,7,4,0.8519429218205257
4,0,11,9,0.8512024721502304
4,8,11,5,0.8510655681009718
0,3,7,9,0.8509643291270373
6,2,10,7,0.8509057595779191
5,4,10,7,0.850758139398236
6,1,7,10,0.8506555779466348
5,1,6,1,0.8504825912926046
4,1,5,2,0.8501548555762461
5,1,5,8,0.8500833789861206
0,4,3,7,0.8500709464274884
8,6,9,6,0.8499258957538953
4,8,6,11,0.8493999032845286
5,3,7,1,0.8491527874568824
5,8,11,5,0.8490295381385373
0,3,8,3,0.8478389922911657
5,8,10,7,0.8477395600628772
3,7,8,6,0.8476980326748943
5,2,5,8,0.8475793693258841
5,8,8,2,0.8474137354608623
6,2,11,5,0.8472161226912274
4,4,8,2,0.8471894621298303
4,1,7,4,0.8467367240494277
0,3,0,4,0.8462897951980608
6,7,11,8,0.8461512320986485
5,1,5,2,0.8461346192740173
6,1,10,2,0.8456064753300284
5,2,8,6,0.8455920112988481
2,3,8,2,0.8450771136334043
5,2,8,3,0.8447469927717416
0,4,6,2,0.8445952307598003
4,1,5,4,0.8445248585249366
5,1,7,9,0.8444061092421812
0,6,4,10,0.8444028488787936
4,10,5,8,0.8442447085381367
3,7,5,1,0.8437768395779622
3,7,5,2,0.8432578185538885
5,6,10,3,0.8430502339855339
5,1,7,10,0.8428810101221261
6,1,6,11,0.8428244169839467
7,10,8,3,0.8427807744622098
5,1,5,6,0.8427465163464859
5,8,7,4,0.8425116465240349
5,6,8,3,0.8422441897554371
1,10,6,1,0.8412581989639888
4,1,10,3,0.8411962733498013
0,3,2,3,0.8405391644316438
5,1,10,3,0.8403922542207714
7,4,8,2,0.8403400220395847
4,1,11,5,0.8400707379130653
8,3,10,7,0.8396972853689051
5,4,7,7,0.8396336624904904
8,4,10,10,0.8396314664105197
7,7,8,2,0.839537505124709
10,5,11,10,0.839510553198533
0,4,10,7,0.8393965709153769
4,1,5,8,0.8392150056909727
6,2,10,2,0.8388769451591102
8,8,10,10,0.83848475192882
2,3,5,1,0.8380965607619003
5,1,10,2,0.8380166964247858
4,4,5,1,0.8374934931797258
4,4,5,6,0.8374425723011946
3,7,5,8,0.8365553623778713
4,0,11,8,0.8363440100776056
4,8,5,8,0.8346592463455986
2,10,11,2,0.8344358790831652
5,3,10,7,0.834321933304843
0,3,5,6,0.8339204183699159
0,3,6,2,0.8338293878795734
2,3,8,3,0.8334182066330117
1,10,10,2,0.8326888131627372
4,10,6,1,0.8326835194879515
5,3,8,3,0.8326650989274431
4,10,7,10,0.8326413795905613
2,10,11,8,0.8325700210933692
8,9,9,8,0.8325044368250072
7,1,11,5,0.8323961093007785
7,10,9,6,0.8321104993460452
4,4,5,2,0.8315525778004557
3,7,4,1,0.831362904408433
3,7,8,2,0.8309866575900049
3,7,7,9,0.8308915600862343
0,3,7,1,0.8308852509226325
5,4,5,6,0.8301618317473466
6,11,7,4,0.8295751037220467
4,4,6,11,0.8295007730163102
5,8,10,3,0.82899818419157
0,4,5,1,0.8289878047238777
0,3,6,1,0.8289702301074814
5,4,8,6,0.8288787991866254
4,10,5,6,0.8286132634575901
5,6,9,6,0.827707664851964
5,6,10,7,0.8275089295902885
7,9,8,3,0.827459922504459
3,7,6,11,0.8272534029613073
4,1,7,10,0.827068758358142
4,10,11,5,0.82696120295755
7,4,11,5,0.8268816605295107
5,6,9,1,0.8268130130048459
6,1,10,7,0.8265628186417489
4,0,11,2,0.8265502358471198
6,1,8,3,0.8252878182355213
0,4,5,8,0.82516071199827
6,11,9,6,0.824903955992778
6,1,7,4,0.8244732670835656
2,3,10,7,0.8244712890400839
3,0,5,3,0.8241567065492521
5,6,11,5,0.8241449361820156
5,2,11,5,0.8235969850847538
5,4,8,2,0.8235223818021071
7,4,7,10,0.822483833174639
8,4,8,8,0.8222492077730333
5,2,5,6,0.8218569995353067
0,4,7,10,0.8216518492322921
0,6,6,11,0.8213465528617399
6,1,6,2,0.8207366653121393
6,7,11,9,0.820361714154747
7,9,10,7,0.8198512325671581
4,4,10,7,0.8197744673628857
5,6,7,10,0.8188697922495596
4,8,10,7,0.8182257980749135
0,6,7,7,0.8180856965495245
6,11,10,2,0.8180856782720133
4,1,4,8,0.8180408675702338
8,1,9,11,0.8175807185990297
8,2,9,1,0.8174074595366891
5,1,5,3,0.8169103964924402
7,1,7,9,0.8168509708696421
11,4,11,11,0.8166307940414845
0,4,8,2,0.816516294503805
0,4,0,6,0.8157223867450808
0,4,7,7,0.8154273675944215
9,6,10,3,0.8153926435480563
2,3,5,3,0.8153850582170336
5,2,7,10,0.8152752629383578
6,1,9,1,0.815116927650894
2,10,11,11,0.8149134242652453
5,8,6,11,0.8147190583465298
7,7,11,5,0.8145539657106062
8,3,11,5,0.8142405443711738
0,4,5,4,0.814138964176767
4,10,8,3,0.8137143499512558
2,3,5,2,0.8136842004252847
3,7,9,11,0.8134012535676342
5,2,6,2,0.81276412026666
5,2,7,9,0.8125740805726849
5,1,11,5,0.8125565774554594
1,10,6,2,0.8122269168335049
0,4,8,6,0.811443869407956
4,1,7,9,0.8103791157314033
6,7,8,4,0.8102765035628444
1,10,10,7,0.8101611421167239
