layer,head,category,total_importance,selectivity,macro_f1_drop
6,5,Critical Generalists,0.30036641720343066,0.4469856808672785,-0.0003650046994568834
6,7,Critical Generalists,0.24664686172317835,0.5813388403254138,0.00239651419385134
7,0,Critical Generalists,0.18233354696712084,0.5805211369190892,-0.0037042352351661645
7,1,Critical Generalists,0.2607067205656094,0.5834514417165535,-0.004534551315572011
7,5,Critical Generalists,0.2445474988279771,0.4500610161804841,0.004613061314644229
7,8,Critical Generalists,0.16451288269607167,0.4870835414053254,0.002968481182217153
8,1,Critical Generalists,0.2600658543434934,0.5017067499899628,0.0018965213118924407
8,8,Critical Generalists,0.42499697019436516,0.6168236831530214,0.013190571045153865
8,11,Critical Generalists,0.4358508396612244,0.42524317906201636,0.009689898816883424
9,0,Critical Generalists,0.39447188847546666,0.4942215376807306,0.005690857328293331
9,2,Critical Generalists,0.2990376170142207,0.4855165960970109,0.006568801212700204
9,3,Critical Generalists,0.20031179650018494,0.5851047929008053,0.0009245294836396356
9,5,Critical Generalists,0.43436410230957245,0.5783130572321504,0.013035902029331692
9,7,Critical Generalists,0.3638111324059719,0.43021345704817526,-0.0031375304831752215
10,0,Critical Generalists,0.40403421697397734,0.5820860074141099,0.011374209666939916
10,2,Critical Generalists,0.2137377585657128,0.5899795146555917,-0.001713233172562889
10,5,Critical Generalists,0.2770022146922794,0.531270664709079,0.0031156745212332915
10,6,Critical Generalists,0.17019383365896984,0.6011546814603927,-0.003561713421373902
10,11,Critical Generalists,0.25525193790037987,0.5960166548293429,-0.0076861731153887725
11,0,Critical Generalists,0.27909416326642755,0.5645244695817189,0.0033039383908894937
11,1,Critical Generalists,0.20249556155969822,0.5445117023631034,0.005048478003218948
11,3,Critical Generalists,0.36478975755554643,0.5765485808340085,0.008208384603826224
11,4,Critical Generalists,0.33013595700790954,0.5346963182647158,0.008647439274280466
11,7,Critical Generalists,0.1850212813187413,0.5601151869592398,0.00013754101908547423
11,10,Critical Generalists,0.3503418947141551,0.5800510804472936,0.004484919488389583
