emotion,emotion_idx,rank,layer,neuron,selectivity,abs_selectivity,direction
approval,4,7,11,1920,1.8666509688003972,1.8666509688003972,excitatory
approval,4,8,11,2012,1.8414341198831639,1.8414341198831639,excitatory
approval,4,9,10,1461,1.8365200437762494,1.8365200437762494,excitatory
approval,4,10,10,2596,1.81501357511049,1.81501357511049,excitatory
caring,5,1,11,979,3.3535268191813903,3.3535268191813903,excitatory
caring,5,2,10,1823,3.160708471601748,3.160708471601748,excitatory
caring,5,3,10,2423,2.9382454810999183,2.9382454810999183,excitatory
caring,5,4,10,1120,2.89010374849327,2.89010374849327,excitatory
caring,5,5,9,3049,2.8887193107028053,2.8887193107028053,excitatory
caring,5,6,10,918,2.8836295443666957,2.8836295443666957,excitatory
caring,5,7,11,574,2.8719679734373025,2.8719679734373025,excitatory
caring,5,8,11,814,2.8657186817785587,2.8657186817785587,excitatory
caring,5,9,10,1039,2.8595637636397715,2.8595637636397715,excitatory
caring,5,10,11,3013,2.825774995798859,2.825774995798859,excitatory
confusion,6,1,9,1970,3.4878257062006086,3.4878257062006086,excitatory
confusion,6,2,10,490,3.3084877696507804,3.3084877696507804,excitatory
confusion,6,3,9,1042,3.1436337068404794,3.1436337068404794,excitatory
confusion,6,4,9,1610,3.138133075384727,3.138133075384727,excitatory
confusion,6,5,9,534,3.111992472120768,3.111992472120768,excitatory
confusion,6,6,10,2349,3.072333412891414,3.072333412891414,excitatory
confusion,6,7,9,1849,3.0674322290607154,3.0674322290607154,excitatory
confusion,6,8,10,2337,3.0224034351554074,3.0224034351554074,excitatory
confusion,6,9,9,353,3.0081124682113285,3.0081124682113285,excitatory
confusion,6,10,10,1558,2.997834222248342,2.997834222248342,excitatory
curiosity,7,1,9,1673,3.7832551373365004,3.7832551373365004,excitatory
curiosity,7,2,9,1967,3.6958132647730197,3.6958132647730197,excitatory
curiosity,7,3,10,1269,3.5555722064080615,3.5555722064080615,excitatory
curiosity,7,4,10,476,3.3513430005454423,3.3513430005454423,excitatory
curiosity,7,5,7,2154,3.3475025338754714,3.3475025338754714,excitatory
curiosity,7,6,11,1123,3.306523196092932,3.306523196092932,excitatory
