layer,emotion,f1,baseline_f1,retention
6,realization,0.27692307692307694,0.2708333333333333,1.0
6,remorse,0.6885245901639344,0.6722689075630253,1.0
6,sadness,0.6273062730627307,0.6319702602230484,0.992619926199262
6,surprise,0.563265306122449,0.5714285714285714,0.9857142857142858
7,admiration,0.7337526205450734,0.7565392354124748,0.9698804585396317
7,amusement,0.8544776119402985,0.8528864059590316,1.0
7,anger,0.48,0.5501432664756447,0.8724999999999999
7,annoyance,0.4342105263157895,0.4112903225806452,1.0
7,approval,0.5365126676602087,0.5550239234449761,0.966647823629169
7,caring,0.47804878048780486,0.5423728813559322,0.8814024390243902
7,confusion,0.49372384937238495,0.5128205128205128,0.9627615062761508
7,curiosity,0.6844106463878327,0.7065217391304348,0.9687042995027785
7,desire,0.5409836065573771,0.5354330708661418,1.0
7,disappointment,0.2087912087912088,0.2751322751322751,0.7588757396449705
7,disapproval,0.48072562358276644,0.5265306122448979,0.9130060292850991
7,disgust,0.48314606741573035,0.5212765957446809,0.9268516395322174
7,embarrassment,0.1951219512195122,0.26666666666666666,0.7317073170731707
7,excitement,0.4473684210526316,0.4539877300613497,0.9854196301564723
7,fear,0.6811594202898551,0.7096774193548387,0.9598155467720685
7,gratitude,0.9296187683284457,0.9273255813953488,1.0
7,joy,0.6074074074074074,0.6326530612244898,0.9600955794504181
7,love,0.8094218415417559,0.8155737704918032,0.9924569313376304
7,optimism,0.5435540069686411,0.573170731707317,0.9483282674772037
7,realization,0.25,0.2708333333333333,0.9230769230769231
7,remorse,0.5740740740740741,0.6722689075630253,0.8539351851851851
7,sadness,0.5645161290322581,0.6319702602230484,0.8932637571157496
7,surprise,0.5555555555555556,0.5714285714285714,0.9722222222222223
8,admiration,0.7398720682302772,0.7565392354124748,0.9779691965703399
8,amusement,0.8362235067437379,0.8528864059590316,0.9804629325794482
8,anger,0.40875912408759124,0.5501432664756447,0.7430048661800487
8,annoyance,0.3883089770354906,0.4112903225806452,0.9441237873019771
8,approval,0.5308310991957105,0.5550239234449761,0.9564112045853749
8,caring,0.4742268041237113,0.5423728813559322,0.8743556701030928
8,confusion,0.4434389140271493,0.5128205128205128,0.8647058823529412
8,curiosity,0.6766917293233082,0.7065217391304348,0.9577790630422208
8,desire,0.5203252032520326,0.5354330708661418,0.9717838354854137
8,disappointment,0.16470588235294117,0.2751322751322751,0.5986425339366516
8,disapproval,0.3655913978494624,0.5265306122448979,0.6943402517295991
8,disgust,0.3129251700680272,0.5212765957446809,0.6003054282937664
8,embarrassment,0.05263157894736842,0.26666666666666666,0.19736842105263158
8,excitement,0.4563758389261745,0.4539877300613497,1.0
8,fear,0.6811594202898551,0.7096774193548387,0.9598155467720685
8,gratitude,0.9287833827893175,0.9273255813953488,1.0
8,joy,0.6095890410958904,0.6326530612244898,0.9635439681838267
8,love,0.8170212765957446,0.8155737704918032,1.0
8,optimism,0.5070422535211268,0.573170731707317,0.8846269103985617
8,realization,0.2898550724637681,0.2708333333333333,1.0
8,remorse,0.5274725274725275,0.6722689075630253,0.7846153846153846
8,sadness,0.5714285714285714,0.6319702602230484,0.9042016806722688
8,surprise,0.570281124497992,0.5714285714285714,0.9979919678714859
9,admiration,0.7445708376421923,0.7565392354124748,0.9841800699685362
9,amusement,0.8266129032258065,0.8528864059590316,0.969194604873926
9,anger,0.5079365079365079,0.5501432664756447,0.9232804232804233
9,annoyance,0.4095427435387674,0.4112903225806452,0.9957509842903364
