lesion_sensitivity,patching_restoration
0.00200803212851397,0.0
0.015819930031463758,0.02081588205729603
0.030805395126074053,0.20879942573428245
0.07671957671957685,0.0
0.004249015709663628,0.0
0.04964001515725658,0.0
0.18685897435897436,0.0
0.13716814159292023,0.0
0.033000587199060405,0.0
0.06617647058823539,0.0
0.5512820512820513,0.0
0.01616733012081839,0.0
0.3605442176870749,0.0
1.0,0.0
0.11891891891891881,0.0
0.07431984074319842,0.0
0.0018659501418120117,0.3788184681344659
0.14137793707686186,0.0
0.0,0.0
0.12448742746615082,0.0
0.2839160839160839,0.0
0.8487288135593221,0.0
0.11118898623279094,0.0
0.09429824561403499,0.0
0.002561676021407222,0.7896066629339306
0.0,0.7492491213121738
0.02699142156862755,0.08954228243021346
0.2483813197410112,0.1757618710134656
0.07174141015359936,0.080299683027567
0.09075342465753444,0.0
0.11512605042016799,0.16956521739130437
0.05824603412152063,0.06809410520750726
0.09053708439897701,0.0
0.12464760370519523,0.0
0.12971082866181938,0.17510583319588763
0.09071605520821058,0.0
0.8026315789473685,0.0
0.17191627717943514,0.0
0.03486924034869243,0.0
0.0,0.96819589079651
0.05498794627482517,0.0576317859952793
0.0,0.583764863828155
0.0,0.0
0.2615384615384615,0.0
0.1322916666666667,0.0
0.028880866425992968,0.2776057791537667
0.010245901639344246,0.0
0.09576994996715016,1.0
0.16250779787897685,1.0
0.33515726329442286,1.0
0.7698108829330549,1.0
0.534188393608074,1.0
0.4796779141104295,1.0
0.5152542372881355,1.0
0.6061538461538463,1.0
1.0,1.0
1.0,1.0
0.6364520172947528,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.019663721858079186,1.0
0.4948453608247423,1.0
0.14108614136673214,1.0
