layer,component,emotion,baseline_f1,compressed_f1,patched_f1,restoration_score
9,attention,optimism,0.573170731707317,0.0,0.0,0.0
9,attention,realization,0.2708333333333333,0.0,0.0,0.0
9,attention,remorse,0.6722689075630253,0.0,0.0,0.0
9,attention,sadness,0.6319702602230484,0.0,0.0,0.0
9,attention,surprise,0.5714285714285714,0.0,0.0,0.0
9,ffn,admiration,0.7565392354124748,0.0,0.015748031496062992,0.02081588205729603
9,ffn,amusement,0.8528864059590316,0.0,0.1780821917808219,0.20879942573428245
9,ffn,anger,0.5501432664756447,0.0,0.0,0.0
9,ffn,annoyance,0.4112903225806452,0.0,0.0,0.0
9,ffn,approval,0.5550239234449761,0.0,0.0,0.0
9,ffn,caring,0.5423728813559322,0.0,0.0,0.0
9,ffn,confusion,0.5128205128205128,0.0,0.0,0.0
9,ffn,curiosity,0.7065217391304348,0.0,0.0,0.0
9,ffn,desire,0.5354330708661418,0.0,0.0,0.0
9,ffn,disappointment,0.2751322751322751,0.0,0.0,0.0
9,ffn,disapproval,0.5265306122448979,0.0,0.0,0.0
9,ffn,disgust,0.5212765957446809,0.0,0.0,0.0
9,ffn,embarrassment,0.26666666666666666,0.0,0.0,0.0
9,ffn,excitement,0.4539877300613497,0.0,0.0,0.0
9,ffn,fear,0.7096774193548387,0.0,0.0,0.0
9,ffn,gratitude,0.9273255813953488,0.0,0.351288056206089,0.3788184681344659
9,ffn,joy,0.6348122866894198,0.0,0.0,0.0
9,ffn,love,0.813141683778234,0.0,0.0,0.0
9,ffn,optimism,0.573170731707317,0.0,0.0,0.0
9,ffn,realization,0.2708333333333333,0.0,0.0,0.0
9,ffn,remorse,0.6722689075630253,0.0,0.0,0.0
9,ffn,sadness,0.6319702602230484,0.0,0.0,0.0
9,ffn,surprise,0.5714285714285714,0.0,0.0,0.0
8,attention,admiration,0.7565392354124748,0.0,0.0,0.0
8,attention,amusement,0.8528864059590316,0.0,0.0,0.0
8,attention,anger,0.5501432664756447,0.0,0.0,0.0
8,attention,annoyance,0.4112903225806452,0.0,0.0,0.0
8,attention,approval,0.5550239234449761,0.0,0.0,0.0
8,attention,caring,0.5423728813559322,0.0,0.0,0.0
8,attention,confusion,0.5128205128205128,0.0,0.0,0.0
8,attention,curiosity,0.7065217391304348,0.0,0.0,0.0
8,attention,desire,0.5354330708661418,0.0,0.0,0.0
8,attention,disappointment,0.2751322751322751,0.0,0.0,0.0
8,attention,disapproval,0.5265306122448979,0.0,0.0,0.0
8,attention,disgust,0.5212765957446809,0.0,0.0,0.0
8,attention,embarrassment,0.26666666666666666,0.0,0.0,0.0
8,attention,excitement,0.4539877300613497,0.0,0.0,0.0
8,attention,fear,0.7096774193548387,0.0,0.0,0.0
8,attention,gratitude,0.9273255813953488,0.0,0.0,0.0
8,attention,joy,0.6348122866894198,0.0,0.0,0.0
8,attention,love,0.813141683778234,0.0,0.0,0.0
8,attention,optimism,0.573170731707317,0.0,0.0,0.0
8,attention,realization,0.2708333333333333,0.0,0.0,0.0
8,attention,remorse,0.6722689075630253,0.0,0.0,0.0
8,attention,sadness,0.6319702602230484,0.0,0.0,0.0
8,attention,surprise,0.5714285714285714,0.0,0.0,0.0
8,ffn,admiration,0.7565392354124748,0.0,0.0,0.0
8,ffn,amusement,0.8528864059590316,0.0,0.0,0.0
8,ffn,anger,0.5501432664756447,0.0,0.0,0.0
8,ffn,annoyance,0.4112903225806452,0.0,0.0,0.0
8,ffn,approval,0.5550239234449761,0.0,0.0,0.0
8,ffn,caring,0.5423728813559322,0.0,0.0,0.0
8,ffn,confusion,0.5128205128205128,0.0,0.0,0.0
8,ffn,curiosity,0.7065217391304348,0.0,0.0,0.0
8,ffn,desire,0.5354330708661418,0.0,0.0,0.0
8,ffn,disappointment,0.2751322751322751,0.0,0.0,0.0
8,ffn,disapproval,0.5265306122448979,0.0,0.0,0.0
8,ffn,disgust,0.5212765957446809,0.0,0.0,0.0
8,ffn,embarrassment,0.26666666666666666,0.0,0.0,0.0
8,ffn,excitement,0.4539877300613497,0.0,0.0,0.0
8,ffn,fear,0.7096774193548387,0.0,0.0,0.0
8,ffn,gratitude,0.9273255813953488,0.0,0.02247191011235955,0.02423303159451939
8,ffn,joy,0.6348122866894198,0.0,0.0,0.0
8,ffn,love,0.813141683778234,0.0,0.0,0.0
8,ffn,optimism,0.573170731707317,0.0,0.0,0.0
8,ffn,realization,0.2708333333333333,0.0,0.0,0.0
8,ffn,remorse,0.6722689075630253,0.0,0.0,0.0
8,ffn,sadness,0.6319702602230484,0.0,0.0,0.0
8,ffn,surprise,0.5714285714285714,0.0,0.0,0.0
