layer,emotion,baseline_f1,compressed_f1,patched_f1,restoration_score
7,confusion,0.5128205128205128,0.0,0.0,0.0
7,curiosity,0.7065217391304348,0.0,0.0,0.0
7,desire,0.5354330708661418,0.0,0.0,0.0
7,disappointment,0.2751322751322751,0.0,0.0,0.0
7,disapproval,0.5265306122448979,0.0,0.0,0.0
7,disgust,0.5212765957446809,0.0,0.0,0.0
7,embarrassment,0.26666666666666666,0.0,0.0,0.0
7,excitement,0.4539877300613497,0.0,0.0,0.0
7,fear,0.7096774193548387,0.0,0.0,0.0
7,gratitude,0.9273255813953488,0.0,0.0,0.0
7,joy,0.6348122866894198,0.0,0.0,0.0
7,love,0.813141683778234,0.0,0.0,0.0
7,optimism,0.573170731707317,0.0,0.0,0.0
7,realization,0.2708333333333333,0.0,0.0,0.0
7,remorse,0.6722689075630253,0.0,0.0,0.0
7,sadness,0.6319702602230484,0.0,0.0,0.0
7,surprise,0.5714285714285714,0.0,0.0,0.0
8,admiration,0.7565392354124748,0.0,0.0,0.0
8,amusement,0.8528864059590316,0.0,0.0,0.0
8,anger,0.5501432664756447,0.0,0.0,0.0
8,annoyance,0.4112903225806452,0.0,0.0,0.0
8,approval,0.5550239234449761,0.0,0.0,0.0
8,caring,0.5423728813559322,0.0,0.0,0.0
8,confusion,0.5128205128205128,0.0,0.0,0.0
8,curiosity,0.7065217391304348,0.0,0.0,0.0
8,desire,0.5354330708661418,0.0,0.0,0.0
8,disappointment,0.2751322751322751,0.0,0.0,0.0
8,disapproval,0.5265306122448979,0.0,0.0,0.0
8,disgust,0.5212765957446809,0.0,0.0,0.0
8,embarrassment,0.26666666666666666,0.0,0.0,0.0
8,excitement,0.4539877300613497,0.0,0.0,0.0
8,fear,0.7096774193548387,0.0,0.0,0.0
8,gratitude,0.9273255813953488,0.0,0.02247191011235955,0.02423303159451939
8,joy,0.6348122866894198,0.0,0.0,0.0
8,love,0.813141683778234,0.0,0.0,0.0
8,optimism,0.573170731707317,0.0,0.0,0.0
8,realization,0.2708333333333333,0.0,0.0,0.0
8,remorse,0.6722689075630253,0.0,0.0,0.0
8,sadness,0.6319702602230484,0.0,0.0,0.0
8,surprise,0.5714285714285714,0.0,0.0,0.0
9,admiration,0.7565392354124748,0.0,0.015748031496062992,0.02081588205729603
9,amusement,0.8528864059590316,0.0,0.1780821917808219,0.20879942573428245
9,anger,0.5501432664756447,0.0,0.0,0.0
9,annoyance,0.4112903225806452,0.0,0.0,0.0
9,approval,0.5550239234449761,0.0,0.0,0.0
9,caring,0.5423728813559322,0.0,0.0,0.0
9,confusion,0.5128205128205128,0.0,0.0,0.0
9,curiosity,0.7065217391304348,0.0,0.0,0.0
9,desire,0.5354330708661418,0.0,0.0,0.0
9,disappointment,0.2751322751322751,0.0,0.0,0.0
9,disapproval,0.5265306122448979,0.0,0.0,0.0
9,disgust,0.5212765957446809,0.0,0.0,0.0
9,embarrassment,0.26666666666666666,0.0,0.0,0.0
9,excitement,0.4539877300613497,0.0,0.0,0.0
9,fear,0.7096774193548387,0.0,0.0,0.0
9,gratitude,0.9273255813953488,0.0,0.351288056206089,0.3788184681344659
9,joy,0.6348122866894198,0.0,0.0,0.0
9,love,0.813141683778234,0.0,0.0,0.0
9,optimism,0.573170731707317,0.0,0.0,0.0
9,realization,0.2708333333333333,0.0,0.0,0.0
9,remorse,0.6722689075630253,0.0,0.0,0.0
9,sadness,0.6319702602230484,0.0,0.0,0.0
9,surprise,0.5714285714285714,0.0,0.0,0.0
10,admiration,0.7565392354124748,0.0,0.5973684210526315,0.7896066629339306
10,amusement,0.8528864059590316,0.0,0.6390243902439025,0.7492491213121738
10,anger,0.5501432664756447,0.0,0.04926108374384237,0.08954228243021346
10,annoyance,0.4112903225806452,0.0,0.07228915662650602,0.1757618710134656
10,approval,0.5550239234449761,0.0,0.04456824512534819,0.080299683027567
10,caring,0.5423728813559322,0.0,0.0,0.0
10,confusion,0.5128205128205128,0.0,0.08695652173913043,0.16956521739130437
10,curiosity,0.7065217391304348,0.0,0.048109965635738834,0.06809410520750726
10,desire,0.5354330708661418,0.0,0.0,0.0
