rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
86,0.37881514,0.06456506,0.34000728,0.040105075,0.5714924,0.059594303,0.54986316,0.06487663,0.24355596,0.025315754,0.35363877,0.06272508
87,0.37760544,0.06449079,0.3387662,0.039888814,0.5697778,0.059738204,0.54764843,0.06532437,0.24318333,0.025327276,0.35274687,0.062576
88,0.37581095,0.06399802,0.33758497,0.040077753,0.5680106,0.059941247,0.5461349,0.06529261,0.24254388,0.025071116,0.35217726,0.06251867
89,0.3745769,0.063577056,0.33650056,0.03997441,0.5661084,0.060503885,0.54441756,0.065217204,0.24187349,0.024916442,0.3514781,0.062298805
90,0.373337,0.06305805,0.33542624,0.039700978,0.5643545,0.060339216,0.5431825,0.065247156,0.24145977,0.024837436,0.35068944,0.062277474
91,0.37179494,0.06282343,0.3342931,0.039794937,0.56253606,0.06036811,0.54137796,0.06542726,0.24091607,0.024989579,0.3500085,0.06218762
92,0.37064207,0.06258358,0.33309874,0.039315056,0.5605691,0.060453847,0.5397163,0.06592842,0.24042904,0.024815436,0.34922275,0.06213192
93,0.3694102,0.06223779,0.3321825,0.039354052,0.5586676,0.060809627,0.53873163,0.06591692,0.23981923,0.024685027,0.34831503,0.06190156
94,0.368196,0.06206164,0.3311456,0.03925386,0.5572527,0.061049916,0.53679746,0.06573149,0.2393349,0.024637891,0.34753084,0.061785135
95,0.36686876,0.061739463,0.33024707,0.03925784,0.5555171,0.060974505,0.5353045,0.06587055,0.23877896,0.02460018,0.34697485,0.061781142
96,0.36550316,0.061410595,0.3287428,0.03907308,0.5539279,0.060771495,0.5341847,0.06566558,0.23833476,0.024655147,0.3461479,0.061689798
97,0.3643414,0.061444163,0.32756922,0.038927246,0.5519876,0.060997322,0.53233033,0.06618695,0.23780489,0.024608633,0.34546056,0.061621048
98,0.36324027,0.061112944,0.32655784,0.039011467,0.54968387,0.060876954,0.53095365,0.065940976,0.23717333,0.024371065,0.34468052,0.06147204
99,0.36198685,0.060868517,0.3255668,0.038788084,0.5484566,0.06141902,0.529614,0.06601146,0.2367266,0.024284832,0.34391725,0.061372552
